,tweet,favourite_count,retweet_count,created_at
75,Can someone buy me a airtag @_Kasharaaa ?,0,0,2021-05-17 00:09:36
76,Why did my mom just call an #AirTag a go me? What??? 🤣🤣🤣,0,0,2021-05-17 00:04:44
77,https://t.co/59dlzw5Icz Specific Apple phones. Anyone know one that either works with #Android or older #Apple,0,0,2021-05-17 00:00:35
78,These people pick up my @apple #airtag and then this happened!  Watch at the end. https://t.co/98FoxT2MgO,1,0,2021-05-16 23:56:36
79,"https://t.co/9mzQDn7Sw7
Airtag Mabo Jambo for IPhone lover's baby 😂",0,0,2021-05-16 23:53:35
80,I fucking lost my wallet lol. I’m forsure gonna need a airtag,0,0,2021-05-16 23:46:08
81,Got Kovu an Apple AirTag so he can stunt like his daddy 😎,1,0,2021-05-16 23:31:07
82,I added a little note in the AirTag case with my name and number. So I’m hoping to catch him today and start my experiment and get an idea where he goes. Stayed tuned for updates 😺7/,1,0,2021-05-16 23:23:15
83,"Today I got an Apple AirTag which is designed to locate lost items like keys, but it’s been shown to be able to track unsuspecting people like spouses finding cheating spouses. So I decided why not track the cat? 6/ https://t.co/FoneoNGO7D",0,0,2021-05-16 23:23:15
84,Apple #AirTag already #hacked by security researcher. Read how they did it. #AppleAAirTag #iphone #security #cybersecurity #technews #technology #Apple https://t.co/JGqu5JCGq1,2,2,2021-05-16 23:05:02
85,i got an airtag for my dog but tbh i need a few for myself bc i lose everything https://t.co/lB6oXDOYiN,34,0,2021-05-16 23:03:25
86,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, @alfunk writes https://t.co/o27EUkrZo1 PostOpinions",0,0,2021-05-16 23:01:36
87,"We have welcomed into our lives an entire ecosystem of dubious tracking tools designed with minimal safeguards against abuse, @alfunk writes https://t.co/m4VWD7dXWH",3,0,2021-05-16 23:00:33
88,"@LetsBaco @AirTag_ Oh, okay! Physical ones are usually easier lol",0,0,2021-05-16 22:59:15
89,"My AirTag review:

The AirTag is genius. The keychain bit is garbage.",22,0,2021-05-16 22:56:41
90,Tempted to order an AirTag for my old dog because she is deaf and we always lose her in the yard daily cause she can’t hear us call her 😭,3,0,2021-05-16 22:49:10
91,"#Apple #AirTag #hacked again – free #internet with no #mobile data plan! (But, with small twist of latency issue)

#cybersecurity #infosec #hacking #IoT #ThreatIntel #riskmanagement #CISO #privacy #dataprotection 

@ciso360 

https://t.co/qrB6qVxIrZ",1,0,2021-05-16 22:45:43
92,Security researcher successfully jailbreaks an Apple AirTag https://t.co/pmrxCVcXnJ,0,0,2021-05-16 22:32:51
93,@FourCornerTech @AirTag_ I also closed my eyes and was not on a physical keyboard a onscreen one,1,0,2021-05-16 22:26:04
94,"@nymodelelite @audreysofiavip This is my nightmare. If you’re an iPhone user, look into AirTags. I just bought a set for when I start traveling again. I hope your bag turns up! https://t.co/j2j0UjP4jq",1,0,2021-05-16 22:16:39
95,"IHU Silicone Shockproof PU Leather AirTag Case Shell Location Tracker Protector Keychain Hook, Bluetooth Finder Protective Cover, Keychain for Air Tags, Bluetooth Finder Case for Airtags https://t.co/gSnSGWLfaW",0,0,2021-05-16 22:13:16
96,When your fiancé accidentally leaves her phone at home but there’s an AirTag attached to her purse. https://t.co/r9nIaAG7k3,2,0,2021-05-16 21:58:42
97,@LetsBaco @AirTag_ Nice try!,0,0,2021-05-16 21:57:48
98,Hey guys! I made a snazzy new video about my new AirTag Bike Reflector: https://t.co/nWP1j1PGei,0,0,2021-05-16 21:47:13
99,"What if someone has attached Airtag on my car without informing me, I don’t use iPhone 11 or later, suppose I m using Android from 2019 without UWB chip, will I be able to catch that Airtag? Or that person will keep tracking me?@Apple @jon_prosser @MKBHD @UnboxTherapy @ijustine",0,0,2021-05-16 21:43:45
100,"One AirTag is 4 klippa, ☝🏾",0,0,2021-05-16 21:37:19
101,#concept AirTag + O.M.G cable code,0,0,2021-05-16 21:30:21
102,"16 Minutes #62: Apple Event: Desktops &amp; Tablets Converge, Cord-Cutting, &amp; “Find Anything” https://t.co/JFPNFvwGqi",0,0,2021-05-16 21:20:21
103,Apple AirTag Spills Its Secrets https://t.co/Gmmq7lpBTO,1,0,2021-05-16 21:15:01
104,JJ AirTag https://t.co/yoToEBeD5K,4,1,2021-05-16 21:07:40
105,"NEW #Apple AirTag Tracking Chips are in stock!

Grab 1 for $29!

Accessories $5 --&gt; 

- Built-in speaker to help find your things

- Find items further away w/ help of other #Apple devices in the Find My network #Deal

 https://t.co/owJnLVpkTW https://t.co/cVMOjRS9om",0,0,2021-05-16 20:53:51
106,"NEW Apple AirTag Tracking Chips are in stock!

Grab 1 for $29!
https://t.co/rgQ4VFTzCK

Accessories $5 --&gt; https://t.co/YXSjJE0Fo5

- Built-in speaker to help find your things

- Find items further away w/ help of other Apple devices in the Find My network https://t.co/c06RnYOl5R",16,1,2021-05-16 20:53:45
107,Finding keys differs from tracking millions of parts in a #Manufacturing plant. @Apple’s AirTag finds keys. AirFinder optimizes your plant. https://t.co/c6w2Rz966I,0,0,2021-05-16 20:52:04
108,y'all tryna hide a rose quartz in my car i'm putting an Apple Airtag in yo purse😈,1,0,2021-05-16 20:41:22
109,Video of an AirTag test for a simulated bike theft - 9to5Mac https://t.co/UuYUa9xowE,0,0,2021-05-16 20:36:43
110,Lack of family sharing hinder Apple AirTag’s potential compare to @TheTileApp https://t.co/eDkWNRIQxB,1,0,2021-05-16 20:34:15
111,"Imma put an AirTag on a kid, and release it into the wild",5,0,2021-05-16 20:33:22
112,What if you never lost anything ever again? https://t.co/rDUXSCLVip,2,0,2021-05-16 20:33:02
113,"@Jioriku @MaxWinebach I have an extra airtag, take it or leave it",0,0,2021-05-16 20:31:09
114,"It's a bit of a tight fit, but it is technically possible to put a sticker from my (unreleased, prototype) Mutant Standard sticker sheet on an AirTag. https://t.co/iIp9zKWUsW",8,0,2021-05-16 20:24:59
115,We put #Apple #new #AirTag #tracker to the #test - here's what happened - @Newsweek @rrabg5 @Apple https://t.co/pXjyccHF3h,0,0,2021-05-16 20:24:25
116,Cute hack of the Apple #AirTag protocol for low-bps high-latency comms. Not useful for #redteam work but could be interesting vector for spy gear trying to hide their comms. https://t.co/N9ssyo91Lv,0,2,2021-05-16 20:21:58
117,"Thanos:  “Fine… I’ll do it myself!”

@apple @tim_cook @pschiller @reneritchie @siracusa @MKBHD @gregjoz @jon_prosser 

#TagYourSiriRemote #AirTag https://t.co/zxLLTlz8ow",0,0,2021-05-16 20:20:06
118,"@SpacePorsche on latest iPhones it takes ""a few hours,"" beeping happens after ""about three days"" https://t.co/6mwwRWQSWk",1,0,2021-05-16 20:19:13
119,@jackie_cs_ In the presentation it said that if someone else’s airtag was following without its owner present you it would be notified almost immediately,1,0,2021-05-16 20:19:12
120,"Bits #169 - #Starlink, #GeForceRTX3050, #AirTag, #MercedesEQT

https://t.co/5DWeCW4Q4s",0,2,2021-05-16 19:58:20
121,@tim_cook I’m waiting for an AirPod case with AirTag functionality built in 😉,0,0,2021-05-16 19:54:28
122,Apple AirTag hacked again – free internet with no mobile data plan! https://t.co/HFYzh0ocPu,0,0,2021-05-16 19:54:25
123,@michael_billig Yup! And my AirTag arrived 7 days sooner than the Store predicted.,1,0,2021-05-16 19:53:18
124,Spacex is outfitting its Dragon spacecraft with an AirTag.,0,0,2021-05-16 19:50:56
125,"Hold on, will an airtag used to track an android user alert them to being tracked?",1,0,2021-05-16 19:48:00
126,"@De_Cavalli @_lilderick If you have to worry about that get a gps tracker, AirTag, or just leave her!🤣🤣",1,0,2021-05-16 19:46:24
127,"Accurately track your bags, keys and more with the new Apple AirTags

Price: $29.99
Link: https://t.co/hWcw25mYu3

Grab a holder for your AirTags here as well: https://t.co/LOKzv0Xdi5 https://t.co/US4FYdo91q",0,0,2021-05-16 19:45:03
128,Leather Protective Sleeve Case Cover For Apple Airtag Tracker Location Protector For Iphone Airtags Keychain Smart Accessories https://t.co/4PeZxlUhHp,0,0,2021-05-16 19:44:30
129,i'm gonna get an airtag for my dog so if she ever get lost i'll know exactly where to find her,2,0,2021-05-16 19:43:00
130,"@datsme4sure1 well they've existed for many years already, think TrackR
https://t.co/3yFp9vV8eq
but that barely made a blip with the public, which changes with Apple promoting their version. their only hope is if they share the database of AirTag owners with authorities.",0,0,2021-05-16 19:30:16
